trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,timepoint
tozan_rail_1,,,stn-odawara,1,,0
tozan_rail_1,,,stn-hakone-itabashi,2,,0
tozan_rail_1,,,stn-kazamatsuri,3,,0
tozan_rail_1,,,stn-iriuda,4,,0
tozan_rail_1,,,stn-hakone-yumoto,5,,0
tozan_rail_2,,,stn-hakone-yumoto,5,,0
tozan_rail_2,,,stn-tonosawa,6,,0
tozan_rail_2,,,stn-ohiradai,7,,0
tozan_rail_2,,,stn-miyanoshita,8,,0
tozan_rail_2,,,stn-kowakidani,9,,0
tozan_rail_2,,,stn-chokoku,10,,0
tozan_rail_2,,,stn-gora,11,,0
tozan_cable_car_1,,,stn-gora,1,,0
tozan_cable_car_1,,,stn-koenshima,2,,0
tozan_cable_car_1,,,stn-koenkami,3,,0
tozan_cable_car_1,,,stn-nakagora,4,,0
tozan_cable_car_1,,,stn-kamigora,5,,0
tozan_cable_car_1,,,stn-sounzan,6,,0
ropeway_1,,,stn-sounzan,1,,0
ropeway_1,,,stn-owakudani,2,,0
ropeway_3,,,stn-owakudani,2,,0
ropeway_3,,,stn-ubako,3,,0
ropeway_3,,,togendai,4,,0
tozan_T_1,,,stn-odawara-east,1,,0
tozan_T_1,,,midoricho,1,,0
tozan_T_1,,,honcho,2,,0
tozan_T_1,,,hakoneguchi,2,,0
tozan_T_1,,,stn-hakone-itabashi,2,,0
tozan_T_1,,,stn-kazamatsuri,3,,0
tozan_T_1,,,stn-iriuda,4,,0
tozan_T_1,,,sanmaibashi-east,8,,0
tozan_T_1,,,sanmaibashi,9,,0
tozan_T_1,,,stn-hakone-yumoto,10,,0
tozan_T_1,,,tonosawa-hot-spr,60,,0
tozan_T_1,,,stn-ohiradai,70,,0
tozan_T_1,,,ohiradai,71,,0
tozan_T_1,,,stn-miyanoshita,72,,0
tozan_T_1,,,miyanoshita-hot-spr,71,,0
tozan_T_1,,,hotel-mae,74,,0
tozan_T_1,,,miyagino,80,,0
tozan_T_1,,,shinanoki,90,,0
tozan_T_1,,,sengoku,100,,0
tozan_T_1,,,sengoku-kogen,110,,0
tozan_T_1,,,togendai,120,,0
tozan_H_1,,,stn-odawara-east,1,,0
tozan_H_1,,,midoricho,1,,0
tozan_H_1,,,honcho,2,,0
tozan_H_1,,,hakoneguchi,2,,0
tozan_H_1,,,stn-hakone-itabashi,3,,0
tozan_H_1,,,stn-kazamatsuri,4,,0
tozan_H_1,,,stn-iriuda,5,,0
tozan_H_1,,,sanmaibashi-east,8,,0
tozan_H_1,,,sanmaibashi,9,,0
tozan_H_1,,,stn-hakone-yumoto,10,,0
tozan_H_1,,,tonosawa-hot-spr,11,,0
tozan_H_1,,,stn-ohiradai,12,,0
tozan_H_1,,,ohiradai,13,,0
tozan_H_1,,,stn-miyanoshita,20,,0
tozan_H_1,,,miyanoshita-hot-spr,21,,0
tozan_H_1,,,hotel-mae,22,,0
tozan_H_1,,,jakotsuno,27,,0
tozan_H_1,,,stn-kowakidani,28,,0
tozan_H_1,,,ninotaira-iriguchi,29,,0
tozan_H_1,,,kowakien,30,,0
tozan_H_1,,,oshiba,38,,0
tozan_H_1,,,motohakone,39,,0
tozan_H_1,,,motohakone-ko,40,,0
tozan_H_1,,,hakonemachi,45,,0
tozan_R_1,,,stn-odawara-east,1,,0
tozan_R_1,,,midoricho,1,,0
tozan_R_1,,,honcho,2,,0
tozan_R_1,,,hakoneguchi,2,,0
tozan_R_1,,,stn-hakone-itabashi,2,,0
tozan_R_1,,,stn-kazamatsuri,3,,0
tozan_R_1,,,stn-iriuda,4,,0
tozan_R_1,,,sanmaibashi-east,8,,0
tozan_R_1,,,sanmaibashi,9,,0
tozan_R_1,,,stn-hakone-yumoto,10,,0
tozan_R_1,,,shin-hatajuku,11,,0
tozan_R_1,,,hakonemachi,12,,0
tozan_R_1,,,motohakone-ko,15,,0
tozan_S_1,,,gotemba-outlets,1,,0
tozan_S_1,,,nino-oka-iriguchi,5,,0
tozan_S_1,,,onsen-kaikan-mae,10,,0
tozan_S_1,,,hakone-garden,15,,0
tozan_S_1,,,sengoku,20,,0
tozan_S_1,,,pola-art,35,,0
tozan_S_1,,,hakone-art,36,,0
tozan_S_1,,,ichibanzaka,39,,0
tozan_S_1,,,stn-gora,50,,0
tozan_S_1,,,ichibanzaka,61,,0
tozan_S_1,,,stn-chokoku,62,,0
tozan_S_1,,,chokoku,63,,0
tozan_S_1,,,ninotaira,64,,0
tozan_S_1,,,ninotaira-iriguchi,65,,0
tozan_S_1,,,kowakien,70,,0
tozan_K_1,,,stn-hakone-yumoto,1,,0
tozan_K_1,,,sanmaibashi,2,,0
tozan_K_1,,,shimojuku,4,,0
tozan_K_1,,,yumoto-yubinkyoku,5,,0
tozan_K_1,,,hotel-hatsuhana,10,,0
tozan_K_1,,,sukumogawa,11,,0
tozan_K_1,,,kami-sukumogawa,12,,0
tozan_K_1,,,hatajuku,20,,0
tozan_K_1,,,kami-hatajuku,10,,0
tozan_K_1,,,motohakone,24,,0
tozan_K_1,,,motohakone-ko,25,,0
tozan_Y_1,,,hakonemachi,1,,0
tozan_Y_1,,,motohakone-ko,6,,0
tozan_Y_1,,,motohakone,7,,0
tozan_Y_1,,,yama-no-hotel,8,,0
tozan_Y_1,,,oshiba,9,,0
tozan_Y_1,,,kowakien,20,,0
tozan_Y_1,,,ninotaira-iriguchi,21,,0
tozan_Y_1,,,ninotaira,22,,0
tozan_Y_1,,,chokoku,23,,0
